Timestamp,Class Name,Confidence,"Bounding Box (x1, y1, x2, y2)","Center (x, y)",Depth (mm)
2024-07-28 07:15:56,people,0.74,"(6, 3), (638, 479)","(322, 241)",0
2024-07-28 07:15:57,laptop,0.75,"(0, 114), (161, 480)","(80, 297)",524
2024-07-28 07:15:57,book,0.53,"(585, 70), (639, 191)","(612, 130)",1122
2024-07-28 07:15:57,book,0.62,"(582, 341), (640, 480)","(611, 410)",910
2024-07-28 07:15:57,book,0.50,"(589, 170), (640, 261)","(614, 215)",1020
2024-07-28 07:15:58,book,0.50,"(464, 185), (519, 300)","(491, 242)",1176
2024-07-28 07:15:58,book,0.57,"(408, 243), (459, 351)","(433, 297)",1230
2024-07-28 07:15:59,book,0.54,"(389, 213), (427, 321)","(408, 267)",1284
2024-07-28 07:15:59,book,0.52,"(400, 229), (437, 300)","(418, 264)",1255
2024-07-28 07:16:00,book,0.51,"(390, 227), (425, 299)","(407, 263)",1265
2024-07-28 07:16:02,people,0.66,"(0, 3), (598, 477)","(299, 240)",462
2024-07-28 07:16:02,book,0.72,"(300, 171), (370, 272)","(335, 221)",1235
2024-07-28 07:16:02,book,0.70,"(277, 188), (340, 294)","(308, 241)",1240
2024-07-28 07:16:02,book,0.68,"(241, 213), (316, 313)","(278, 263)",1260
2024-07-28 07:16:02,book,0.62,"(230, 225), (291, 325)","(260, 275)",1273
2024-07-28 07:16:02,book,0.58,"(181, 258), (218, 359)","(199, 308)",1322
2024-07-28 07:16:02,book,0.55,"(281, 187), (365, 279)","(323, 233)",1218
2024-07-28 07:16:02,book,0.54,"(265, 194), (350, 306)","(307, 250)",1213
2024-07-28 07:16:03,book,0.55,"(414, 53), (482, 174)","(448, 113)",1284
2024-07-28 07:16:03,laptop,0.86,"(0, 84), (208, 479)","(104, 281)",589
2024-07-28 07:16:03,laptop,0.82,"(1, 111), (201, 479)","(101, 295)",593
2024-07-28 07:16:03,book,0.58,"(578, 198), (616, 321)","(597, 259)",992
2024-07-28 07:16:03,book,0.53,"(601, 198), (639, 317)","(620, 257)",955
2024-07-28 07:16:04,book,0.67,"(583, 198), (622, 313)","(602, 255)",977
2024-07-28 07:16:04,book,0.52,"(562, 198), (598, 319)","(580, 258)",1000
2024-07-28 07:16:04,book,0.51,"(490, 0), (529, 130)","(509, 65)",1306
2024-07-28 07:16:04,laptop,0.71,"(0, 92), (200, 474)","(100, 283)",591
2024-07-28 07:16:04,book,0.65,"(571, 179), (605, 298)","(588, 238)",1015
2024-07-28 07:16:04,book,0.54,"(600, 173), (640, 290)","(620, 231)",975
2024-07-28 07:16:04,laptop,0.84,"(0, 0), (272, 403)","(136, 201)",590
2024-07-28 07:16:05,laptop,0.81,"(0, 3), (278, 416)","(139, 209)",592
2024-07-28 07:16:05,tv,0.73,"(0, 1), (187, 290)","(93, 145)",506
2024-07-28 07:16:05,laptop,0.91,"(0, 19), (338, 427)","(169, 223)",614
2024-07-28 07:16:05,bottle,0.77,"(227, 384), (271, 480)","(249, 432)",0
2024-07-28 07:16:05,keyboard,0.65,"(429, 446), (601, 480)","(515, 463)",978
2024-07-28 07:16:05,laptop,0.89,"(0, 67), (363, 463)","(181, 265)",611
2024-07-28 07:16:06,laptop,0.84,"(0, 70), (377, 469)","(188, 269)",623
2024-07-28 07:16:06,laptop,0.86,"(1, 102), (388, 475)","(194, 288)",623
2024-07-28 07:16:06,laptop,0.87,"(2, 85), (388, 472)","(195, 278)",632
2024-07-28 07:16:06,laptop,0.87,"(2, 82), (381, 469)","(191, 275)",621
2024-07-28 07:16:06,laptop,0.89,"(9, 76), (378, 465)","(193, 270)",629
2024-07-28 07:16:06,bottle,0.72,"(273, 425), (311, 480)","(292, 452)",0
2024-07-28 07:16:07,laptop,0.87,"(8, 74), (385, 463)","(196, 268)",621
2024-07-28 07:16:07,laptop,0.89,"(33, 64), (394, 455)","(213, 259)",639
2024-07-28 07:16:07,laptop,0.54,"(0, 9), (64, 473)","(32, 241)",0
2024-07-28 07:16:07,bottle,0.51,"(288, 413), (327, 480)","(307, 446)",251
2024-07-28 07:16:07,book,0.55,"(409, 115), (469, 227)","(439, 171)",1331
2024-07-28 07:16:09,dog,0.56,"(0, 0), (527, 479)","(263, 239)",404
