Timestamp,Class Name,Confidence,"Bounding Box (x1, y1, x2, y2)","Center (x, y)",Depth (mm)
2024-07-28 06:31:48,person,0.74,"(559, 381), (640, 480)","(599, 430)",1829
2024-07-28 06:31:48,person,0.72,"(564, 271), (640, 480)","(602, 375)",561
2024-07-28 06:31:48,person,0.85,"(511, 266), (640, 479)","(575, 372)",0
2024-07-28 06:31:48,person,0.89,"(455, 248), (640, 480)","(547, 364)",0
2024-07-28 06:31:49,cat,0.60,"(235, 0), (639, 88)","(437, 44)",0
2024-07-28 06:31:49,person,0.89,"(396, 137), (640, 479)","(518, 308)",510
2024-07-28 06:31:50,person,0.58,"(415, 52), (640, 478)","(527, 265)",515
2024-07-28 06:31:50,book,0.52,"(505, 253), (583, 341)","(544, 297)",0
2024-07-28 06:31:51,book,0.54,"(347, 120), (386, 211)","(366, 165)",1609
2024-07-28 06:31:51,book,0.51,"(423, 256), (465, 353)","(444, 304)",1199
2024-07-28 06:31:52,book,0.55,"(425, 246), (465, 341)","(445, 293)",1181
2024-07-28 06:31:53,book,0.52,"(500, 208), (534, 304)","(517, 256)",1114
2024-07-28 06:31:54,book,0.53,"(292, 229), (342, 326)","(317, 277)",1385
2024-07-28 06:31:54,book,0.51,"(350, 316), (639, 480)","(494, 398)",1148
2024-07-28 06:31:54,book,0.58,"(333, 258), (615, 417)","(474, 337)",1143
2024-07-28 06:31:55,book,0.53,"(467, 218), (574, 299)","(520, 258)",513
2024-07-28 06:31:55,book,0.51,"(339, 241), (385, 337)","(362, 289)",1135
2024-07-28 06:31:55,book,0.55,"(472, 215), (576, 300)","(524, 257)",505
2024-07-28 06:31:55,book,0.62,"(468, 216), (572, 298)","(520, 257)",510
2024-07-28 06:31:56,book,0.52,"(169, 128), (210, 219)","(189, 173)",1518
2024-07-28 06:31:56,book,0.60,"(478, 218), (583, 299)","(530, 258)",505
2024-07-28 06:31:56,book,0.58,"(440, 223), (518, 315)","(479, 269)",0
2024-07-28 06:31:56,book,0.59,"(443, 227), (518, 317)","(480, 272)",0
2024-07-28 06:31:56,book,0.59,"(478, 221), (581, 301)","(529, 261)",507
