Timestamp,Class Name,Confidence,"Bounding Box (x1, y1, x2, y2)","Center (x, y)",Depth (mm)
2024-07-28 06:31:57,book,0.53,"(440, 232), (517, 326)","(478, 279)",0
2024-07-28 06:31:57,book,0.53,"(441, 234), (516, 327)","(478, 280)",0
2024-07-28 06:31:57,book,0.55,"(440, 235), (517, 326)","(478, 280)",0
2024-07-28 06:31:58,book,0.52,"(440, 234), (517, 327)","(478, 280)",0
2024-07-28 06:31:58,book,0.58,"(440, 237), (519, 327)","(479, 282)",0
2024-07-28 06:31:58,book,0.52,"(439, 234), (517, 328)","(478, 281)",0
2024-07-28 06:31:58,book,0.56,"(454, 257), (535, 356)","(494, 306)",0
2024-07-28 06:31:59,book,0.51,"(344, 231), (377, 304)","(360, 267)",1306
2024-07-28 06:31:59,book,0.60,"(341, 318), (640, 479)","(490, 398)",1120
2024-07-28 06:31:59,book,0.51,"(195, 272), (233, 366)","(214, 319)",1273
2024-07-28 06:31:59,book,0.51,"(514, 344), (634, 431)","(574, 387)",468
2024-07-28 06:32:00,book,0.60,"(513, 346), (635, 433)","(574, 389)",469
2024-07-28 06:32:00,book,0.52,"(515, 349), (632, 442)","(573, 395)",469
2024-07-28 06:32:00,book,0.62,"(338, 326), (639, 480)","(488, 403)",1127
2024-07-28 06:32:01,book,0.65,"(404, 153), (640, 314)","(522, 233)",1137
2024-07-28 06:32:02,couch,0.62,"(2, 322), (490, 480)","(246, 401)",1255
2024-07-28 06:32:02,book,0.56,"(499, 86), (532, 184)","(515, 135)",1220
2024-07-28 06:32:02,book,0.54,"(519, 83), (555, 181)","(537, 132)",1129
2024-07-28 06:32:02,book,0.52,"(537, 82), (572, 177)","(554, 129)",1131
2024-07-28 06:32:02,book,0.51,"(536, 84), (575, 180)","(555, 132)",1112
2024-07-28 06:32:02,book,0.53,"(494, 94), (527, 197)","(510, 145)",1201
2024-07-28 06:32:02,book,0.51,"(489, 111), (523, 210)","(506, 160)",1176
2024-07-28 06:32:03,book,0.59,"(486, 115), (521, 214)","(503, 164)",1183
2024-07-28 06:32:03,book,0.52,"(479, 120), (519, 219)","(499, 169)",1183
2024-07-28 06:32:04,book,0.59,"(542, 185), (611, 271)","(576, 228)",557
2024-07-28 06:32:04,book,0.53,"(562, 191), (640, 273)","(601, 232)",524
2024-07-28 06:32:04,book,0.61,"(522, 214), (597, 302)","(559, 258)",565
2024-07-28 06:32:04,book,0.50,"(420, 247), (455, 341)","(437, 294)",1255
2024-07-28 06:32:05,book,0.52,"(509, 266), (585, 354)","(547, 310)",574
2024-07-28 06:32:05,book,0.50,"(539, 260), (639, 343)","(589, 301)",524
2024-07-28 06:32:05,book,0.56,"(534, 216), (638, 304)","(586, 260)",526
2024-07-28 06:32:05,book,0.58,"(485, 239), (548, 323)","(516, 281)",601
2024-07-28 06:32:06,book,0.59,"(453, 271), (520, 357)","(486, 314)",622
2024-07-28 06:32:06,book,0.50,"(337, 303), (384, 399)","(360, 351)",1303
2024-07-28 06:32:06,book,0.52,"(477, 282), (582, 366)","(529, 324)",555
2024-07-28 06:32:06,book,0.53,"(477, 279), (579, 362)","(528, 320)",558
2024-07-28 06:32:06,book,0.53,"(234, 176), (278, 277)","(256, 226)",1433
2024-07-28 06:32:06,book,0.53,"(475, 277), (582, 360)","(528, 318)",557
2024-07-28 06:32:07,book,0.58,"(499, 250), (593, 352)","(546, 301)",535
2024-07-28 06:32:07,book,0.53,"(305, 196), (339, 271)","(322, 233)",1478
2024-07-28 06:32:07,book,0.52,"(477, 287), (578, 364)","(527, 325)",557
2024-07-28 06:32:07,book,0.51,"(442, 295), (517, 384)","(479, 339)",0
2024-07-28 06:32:07,book,0.54,"(452, 323), (558, 401)","(505, 362)",576
2024-07-28 06:32:07,book,0.70,"(452, 328), (556, 410)","(504, 369)",571
2024-07-28 06:32:07,book,0.54,"(331, 348), (412, 461)","(371, 404)",1252
2024-07-28 06:32:07,book,0.70,"(451, 332), (553, 412)","(502, 372)",576
2024-07-28 06:32:07,person,0.53,"(453, 0), (639, 475)","(546, 237)",501
2024-07-28 06:32:07,book,0.69,"(453, 335), (558, 414)","(505, 374)",569
2024-07-28 06:32:08,book,0.58,"(451, 351), (556, 432)","(503, 391)",568
2024-07-28 06:32:08,book,0.65,"(451, 367), (557, 447)","(504, 407)",555
2024-07-28 06:32:08,person,0.62,"(447, 7), (639, 479)","(543, 243)",453
2024-07-28 06:32:09,person,0.50,"(485, 6), (639, 477)","(562, 241)",447
2024-07-28 06:32:09,person,0.58,"(511, 9), (640, 478)","(575, 243)",451
2024-07-28 06:32:10,person,0.60,"(513, 9), (639, 479)","(576, 244)",455
2024-07-28 06:32:10,person,0.54,"(512, 25), (640, 479)","(576, 252)",468
2024-07-28 06:32:10,person,0.59,"(529, 23), (640, 480)","(584, 251)",463
2024-07-28 06:32:10,book,0.52,"(264, 379), (287, 480)","(275, 429)",1194
2024-07-28 06:32:12,book,0.55,"(533, 338), (616, 434)","(574, 386)",512
2024-07-28 06:32:17,person,0.69,"(471, 0), (639, 478)","(555, 239)",456
2024-07-28 06:32:17,person,0.81,"(346, 2), (639, 478)","(492, 240)",430
2024-07-28 06:32:17,book,0.50,"(412, 346), (456, 417)","(434, 381)",0
2024-07-28 06:32:18,cat,0.64,"(443, 2), (639, 479)","(541, 240)",0
2024-07-28 06:32:20,book,0.62,"(317, 250), (411, 340)","(364, 295)",1104
2024-07-28 06:32:20,book,0.53,"(257, 368), (313, 478)","(285, 423)",1273
2024-07-28 06:32:20,book,0.58,"(315, 243), (410, 337)","(362, 290)",1089
2024-07-28 06:32:20,book,0.65,"(297, 289), (373, 389)","(335, 339)",1185
2024-07-28 06:32:20,book,0.57,"(316, 236), (413, 331)","(364, 283)",1098
2024-07-28 06:32:20,book,0.57,"(299, 283), (391, 372)","(345, 327)",1165
2024-07-28 06:32:20,book,0.53,"(284, 291), (368, 411)","(326, 351)",1194
2024-07-28 06:32:20,book,0.50,"(303, 261), (402, 348)","(352, 304)",1131
2024-07-28 06:32:21,book,0.70,"(326, 237), (417, 331)","(371, 284)",1089
2024-07-28 06:32:21,book,0.63,"(296, 290), (373, 404)","(334, 347)",1194
2024-07-28 06:32:21,book,0.63,"(308, 264), (397, 365)","(352, 314)",1156
2024-07-28 06:32:21,book,0.57,"(259, 347), (313, 463)","(286, 405)",1300
2024-07-28 06:32:21,book,0.53,"(314, 261), (403, 336)","(358, 298)",1114
2024-07-28 06:32:21,book,0.54,"(308, 194), (399, 290)","(353, 242)",1131
2024-07-28 06:32:21,person,0.67,"(198, 0), (639, 478)","(418, 239)",1077
2024-07-28 06:32:21,book,0.61,"(277, 108), (360, 221)","(318, 164)",1252
2024-07-28 06:32:21,book,0.58,"(298, 100), (377, 189)","(337, 144)",1187
2024-07-28 06:32:21,book,0.67,"(533, 131), (640, 279)","(586, 205)",787
2024-07-28 06:32:21,book,0.56,"(295, 99), (371, 194)","(333, 146)",1185
2024-07-28 06:32:21,book,0.56,"(292, 103), (360, 218)","(326, 160)",1160
2024-07-28 06:32:21,book,0.56,"(299, 51), (410, 183)","(354, 117)",1187
2024-07-28 06:32:21,book,0.52,"(519, 176), (602, 292)","(560, 234)",842
2024-07-28 06:32:21,book,0.52,"(302, 83), (397, 191)","(349, 137)",1131
2024-07-28 06:32:21,book,0.52,"(328, 51), (410, 160)","(369, 105)",1225
2024-07-28 06:32:21,book,0.51,"(490, 183), (594, 299)","(542, 241)",830
2024-07-28 06:32:22,book,0.50,"(512, 191), (595, 306)","(553, 248)",912
2024-07-28 06:32:22,book,0.63,"(328, 75), (410, 181)","(369, 128)",1220
2024-07-28 06:32:22,book,0.57,"(288, 130), (357, 243)","(322, 186)",1208
2024-07-28 06:32:22,book,0.54,"(306, 101), (386, 206)","(346, 153)",1150
2024-07-28 06:32:22,book,0.51,"(501, 200), (589, 315)","(545, 257)",880
2024-07-28 06:32:22,book,0.51,"(300, 112), (372, 219)","(336, 165)",1169
2024-07-28 06:32:22,book,0.51,"(436, 30), (509, 124)","(472, 77)",1050
2024-07-28 06:32:22,book,0.51,"(520, 154), (640, 305)","(580, 229)",778
2024-07-28 06:32:22,book,0.64,"(326, 78), (409, 186)","(367, 132)",1242
2024-07-28 06:32:22,book,0.61,"(290, 130), (359, 248)","(324, 189)",1190
2024-07-28 06:32:22,book,0.58,"(438, 31), (511, 124)","(474, 77)",1030
2024-07-28 06:32:22,book,0.57,"(532, 158), (639, 306)","(585, 232)",791
2024-07-28 06:32:22,book,0.52,"(310, 101), (396, 206)","(353, 153)",1139
2024-07-28 06:32:22,book,0.50,"(300, 104), (379, 223)","(339, 163)",1156
2024-07-28 06:32:22,book,0.54,"(512, 205), (595, 324)","(553, 264)",913
2024-07-28 06:32:22,book,0.53,"(274, 137), (351, 254)","(312, 195)",1218
2024-07-28 06:32:22,book,0.52,"(526, 159), (639, 309)","(582, 234)",779
2024-07-28 06:32:22,book,0.64,"(291, 136), (355, 251)","(323, 193)",1199
2024-07-28 06:32:22,book,0.57,"(476, 223), (570, 344)","(523, 283)",949
2024-07-28 06:32:22,book,0.54,"(506, 209), (594, 328)","(550, 268)",922
2024-07-28 06:32:22,book,0.53,"(329, 84), (410, 193)","(369, 138)",1232
2024-07-28 06:32:23,book,0.56,"(286, 136), (357, 252)","(321, 194)",1213
2024-07-28 06:32:23,book,0.51,"(506, 211), (590, 330)","(548, 270)",927
2024-07-28 06:32:23,book,0.51,"(518, 161), (640, 314)","(579, 237)",780
2024-07-28 06:32:23,book,0.71,"(311, 106), (401, 204)","(356, 155)",1137
2024-07-28 06:32:23,book,0.67,"(329, 81), (410, 188)","(369, 134)",1250
2024-07-28 06:32:23,book,0.67,"(300, 129), (364, 221)","(332, 175)",1181
2024-07-28 06:32:23,book,0.65,"(277, 133), (357, 251)","(317, 192)",1230
2024-07-28 06:32:23,book,0.61,"(307, 116), (384, 217)","(345, 166)",1139
2024-07-28 06:32:23,book,0.54,"(506, 205), (593, 324)","(549, 264)",906
2024-07-28 06:32:23,book,0.53,"(477, 220), (569, 341)","(523, 280)",928
2024-07-28 06:32:23,book,0.67,"(315, 98), (394, 211)","(354, 154)",1143
2024-07-28 06:32:23,book,0.55,"(333, 73), (414, 180)","(373, 126)",1245
2024-07-28 06:32:23,book,0.54,"(534, 156), (640, 306)","(587, 231)",776
2024-07-28 06:32:23,book,0.52,"(512, 201), (595, 317)","(553, 259)",896
2024-07-28 06:32:23,book,0.51,"(298, 127), (361, 239)","(329, 183)",1190
2024-07-28 06:32:23,book,0.62,"(516, 197), (604, 316)","(560, 256)",897
2024-07-28 06:32:23,book,0.59,"(540, 154), (640, 300)","(590, 227)",772
2024-07-28 06:32:23,book,0.54,"(487, 211), (577, 336)","(532, 273)",924
2024-07-28 06:32:23,book,0.52,"(304, 121), (371, 233)","(337, 177)",1169
2024-07-28 06:32:24,person,0.76,"(86, 1), (638, 479)","(362, 240)",1143
2024-07-28 06:32:25,cat,0.65,"(0, 159), (616, 480)","(308, 319)",0
